event_id_cnty,event_date,state_clean,location,event_type,notes_short,fatalities,kidnapped_count,fatalities_combatants,fatalities_security_forces,fatalities_civilians,civilian_targeting,is_duplicate,corrected_kidnapped_count,corrected_fatalities,corrected_combatants,corrected_security,corrected_civilians,corrected_duplicate,review_note
NIG12811,2018-07-16,FCT,Abuja,Protests,"On 16 July 2018, members of the Islamic Movement protest for the release of their leader in Abuja. .",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12807,2018-07-16,Kaduna,Tabanni,Battles,16 July. Unidentified gunmen ambushed a group of police at Tabanni Village (coordinates approx) along Birnin-Gwari - Fun...,2,0.0,0.0,0.0,2.0,No,No,,,,,,,
NIG12809,2018-07-16,Taraba,Jalingo,Riots,"16 July. Rampaging youths in Jalingo pelted Taraba Commissioner of Police, Mr David Akinremi, with stones, injuring him ...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12814,2018-07-17,Imo,Owerri,Protests,"17 July. Vehicular and business activities were disrupted as over 3,000 people peacefully processed through the major st...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12816,2018-07-17,Kaduna,Kaduna,Riots,"17 July. Following a nearby attack the previous day, police forces in Kaduna protest the deaths of two of the colleagues...",1,0.0,0.0,0.0,1.0,No,No,,,,,,,
NIG12815,2018-07-17,Lagos,Lagos,Protests,17 July. Workers of ExxonMobil protest the Lagos headquarters over the mass termination of employees.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12813,2018-07-17,Borno,Museni,Battles,17 July. Boko Haram fighters killed six traders when they ambushed a convoy of lorries under military escort in at Mussi...,6,0.0,0.0,0.0,6.0,No,No,,,,,,,
NIG12824,2018-07-18,Lagos,Akoka,Protests,18 July. Residents protest poor electrical supply at the headquarters of Eko Electricity Distribution Company on Lagos M...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12826,2018-07-19,Anambra,Nkwelle,Battles,19 July. One person was killed and over 10 persons injured when gunmen numbering over 20 invaded New City Atoji Housing ...,1,0.0,0.0,0.0,1.0,No,No,,,,,,,
NIG14063,2018-07-19,Kogi,Lokoja,Battles,"19 July. An unidentified armed group attempts to assassinate the Senator Dino Melaye in Lokoja, but kill 2 policemen ins...",2,0.0,0.0,2.0,0.0,No,No,,,,,,,
